body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
0.010782,0.034821,-0.010183
-0.002502,0.006995,-0.011390
0.002599,0.014606,-0.014376
0.012801,0.029827,-0.020348
-0.006448,0.017488,0.025752
-0.016067,0.011318,0.048805
-0.002598,-0.002241,-0.000718
-0.004941,0.001457,0.000893
-0.009628,0.008851,0.004114
-0.002864,0.009696,-0.015496
0.000518,0.010118,-0.025301
-0.002613,0.000804,0.002166
-0.000098,0.000776,0.011964
0.004932,0.000720,0.031559
0.000654,0.003385,0.015069
-0.001485,0.004717,0.006824
0.008803,0.024555,0.030168
0.008331,0.023249,0.019497
0.007384,0.020638,-0.001845
-0.000649,-0.004140,-0.006176
-0.004666,-0.016529,-0.008342
-0.009948,0.007664,0.039938
-0.010808,0.005601,0.035733
-0.012526,0.001473,0.027322
-0.011183,-0.006257,-0.004868
-0.010511,-0.010123,-0.020963
-0.012047,-0.014580,0.024300
-0.009715,-0.008864,0.014198
-0.005049,0.002565,-0.006008
-0.006113,0.003015,-0.019828
-0.006645,0.003240,-0.026739
-0.041669,-0.011044,0.061186
-0.032197,-0.007328,0.040976
-0.013252,0.000100,0.000555
-0.007164,-0.004856,-0.001019
-0.004120,-0.007333,-0.001806
-0.017190,0.017409,0.002499
-0.015805,0.007308,0.001694
-0.013035,-0.012894,0.000088
-0.011144,0.017510,0.015655
-0.010200,0.032714,0.023437
-0.009930,0.005027,0.022149
-0.008925,0.007829,0.009780
-0.006918,0.013431,-0.014958
-0.008339,0.006374,-0.040850
-0.009051,0.002845,-0.053796
-0.035397,0.007411,0.050162
-0.023770,0.010307,0.033201
-0.000521,0.016098,-0.000723
-0.011831,0.013137,0.022717
-0.017484,0.011657,0.034438
-0.013332,-0.002995,0.007149
-0.016774,-0.002018,0.009963
-0.023658,-0.000065,0.015591
-0.020676,0.006450,0.012055
-0.019186,0.009707,0.010286
-0.016647,-0.008652,-0.015159
-0.009444,-0.002283,-0.004297
0.004962,0.010458,0.017426
-0.011084,0.011334,0.010849
-0.019108,0.011772,0.007562
-0.004297,0.010186,-0.008773
-0.011304,0.009958,0.010348
-0.025316,0.009506,0.048593
-0.005934,0.010823,0.000869
0.003754,0.011480,-0.022993
-0.011446,-0.008646,0.029868
-0.008724,-0.010931,0.020524
-0.003276,-0.015503,0.001836
-0.007506,0.002773,0.023291
-0.009623,0.011911,0.034018
-0.017087,0.033800,0.033492
-0.012928,0.015749,0.016643
-0.004610,-0.020355,-0.017051
-0.004542,-0.009060,-0.000751
-0.004508,-0.003412,0.007398
-0.013546,-0.024395,-0.005652
-0.012756,-0.013542,-0.001189
-0.011177,0.008164,0.007735
-0.006750,-0.006150,-0.010555
-0.004537,-0.013308,-0.019700
-0.004381,0.014260,0.023693
-0.005699,0.011663,0.026169
-0.008331,0.006470,0.031123
-0.018415,-0.000356,0.000174
-0.023458,-0.003772,-0.015299
-0.001941,-0.004001,0.005781
-0.004852,0.001264,0.001389
-0.010672,0.011794,-0.007396
0.004806,0.009712,0.030600
0.012547,0.008673,0.049597
-0.018087,-0.002091,-0.021322
-0.011292,0.001823,0.005069
0.002299,0.009658,0.057850
-0.012403,0.011349,0.026907
-0.019756,0.012191,0.011436
-0.006014,-0.017570,-0.010167
