body_0_w,body_0_x,body_0_y,body_0_z
0.996310,-0.083207,0.019667,-0.007514
0.996311,-0.083188,0.019716,-0.007453
0.996308,-0.083224,0.019747,-0.007328
0.996298,-0.083367,0.019743,-0.007073
0.996295,-0.083411,0.019743,-0.007049
0.996295,-0.083404,0.019746,-0.007139
0.996284,-0.083531,0.019777,-0.007089
0.996274,-0.083636,0.019835,-0.007018
0.996268,-0.083694,0.019945,-0.006902
0.996267,-0.083669,0.019947,-0.007269
0.996270,-0.083602,0.019895,-0.007876
0.996266,-0.083559,0.020019,-0.008429
0.996261,-0.083558,0.020100,-0.008881
0.996251,-0.083642,0.020097,-0.009132
0.996248,-0.083607,0.020274,-0.009410
0.996248,-0.083513,0.020540,-0.009701
0.996239,-0.083559,0.020701,-0.009844
0.996237,-0.083537,0.020823,-0.010011
0.996247,-0.083378,0.020865,-0.010231
0.996238,-0.083480,0.021022,-0.009950
0.996219,-0.083711,0.021236,-0.009419
0.996218,-0.083668,0.021236,-0.009944
0.996221,-0.083568,0.021264,-0.010410
0.996233,-0.083355,0.021349,-0.010758
0.996233,-0.083305,0.021544,-0.010804
0.996226,-0.083338,0.021795,-0.010699
0.996221,-0.083406,0.021741,-0.010715
0.996217,-0.083432,0.021791,-0.010731
0.996216,-0.083375,0.022049,-0.010746
0.996217,-0.083320,0.022188,-0.010850
0.996218,-0.083265,0.022269,-0.010998
0.996214,-0.083273,0.022406,-0.011057
0.996210,-0.083275,0.022555,-0.011086
0.996207,-0.083266,0.022728,-0.011056
0.996205,-0.083283,0.022765,-0.010997
0.996204,-0.083312,0.022735,-0.010923
0.996211,-0.083168,0.022841,-0.011146
0.996211,-0.083128,0.022964,-0.011238
0.996195,-0.083295,0.023118,-0.011065
0.996190,-0.083373,0.023147,-0.010933
0.996189,-0.083406,0.023114,-0.010821
0.996190,-0.083377,0.023284,-0.010548
0.996193,-0.083328,0.023427,-0.010325
0.996200,-0.083239,0.023517,-0.010199
0.996201,-0.083214,0.023636,-0.010033
0.996199,-0.083222,0.023770,-0.009847
0.996202,-0.083210,0.023831,-0.009497
0.996206,-0.083191,0.023814,-0.009286
0.996212,-0.083160,0.023638,-0.009353
0.996221,-0.083051,0.023703,-0.009242
0.996230,-0.082903,0.023889,-0.009041
0.996234,-0.082848,0.024005,-0.008780
0.996240,-0.082792,0.024062,-0.008477
0.996250,-0.082733,0.024000,-0.008090
0.996245,-0.082795,0.024065,-0.007892
0.996232,-0.082919,0.024193,-0.007789
0.996239,-0.082755,0.024432,-0.007897
0.996244,-0.082639,0.024593,-0.007964
0.996246,-0.082620,0.024596,-0.007946
0.996251,-0.082514,0.024695,-0.008101
0.996258,-0.082365,0.024841,-0.008342
0.996250,-0.082379,0.025107,-0.008299
0.996246,-0.082381,0.025308,-0.008235
0.996246,-0.082359,0.025381,-0.008125
0.996233,-0.082481,0.025387,-0.008436
0.996213,-0.082677,0.025361,-0.008956
0.996208,-0.082692,0.025576,-0.008799
0.996201,-0.082742,0.025734,-0.008640
0.996192,-0.082859,0.025777,-0.008479
0.996184,-0.082902,0.025934,-0.008544
0.996176,-0.082906,0.026147,-0.008723
0.996176,-0.082801,0.026415,-0.008929
0.996173,-0.082760,0.026602,-0.009061
0.996165,-0.082847,0.026625,-0.009048
0.996165,-0.082826,0.026763,-0.008917
0.996167,-0.082752,0.026957,-0.008727
0.996159,-0.082767,0.027150,-0.008936
0.996154,-0.082755,0.027293,-0.009203
0.996155,-0.082686,0.027336,-0.009587
0.996152,-0.082629,0.027550,-0.009726
0.996148,-0.082578,0.027851,-0.009744
0.996142,-0.082540,0.028250,-0.009537
0.996133,-0.082550,0.028544,-0.009493
0.996119,-0.082655,0.028628,-0.009773
0.996109,-0.082701,0.028844,-0.009734
0.996102,-0.082717,0.029126,-0.009536
0.996092,-0.082775,0.029374,-0.009323
0.996084,-0.082790,0.029643,-0.009189
0.996080,-0.082717,0.029956,-0.009211
0.996079,-0.082655,0.030195,-0.009071
0.996080,-0.082598,0.030398,-0.008851
0.996079,-0.082539,0.030663,-0.008575
0.996077,-0.082456,0.031004,-0.008340
0.996074,-0.082327,0.031496,-0.008187
0.996071,-0.082255,0.031826,-0.008041
0.996067,-0.082211,0.032074,-0.007898
0.996044,-0.082300,0.032595,-0.007744
0.996028,-0.082284,0.033174,-0.007596
0.996024,-0.082059,0.033872,-0.007463
0.996008,-0.082028,0.034482,-0.007135
0.995985,-0.082095,0.035049,-0.006709
0.996002,-0.081826,0.035193,-0.006719
0.996003,-0.081648,0.035599,-0.006655
0.995970,-0.081652,0.036530,-0.006442
0.995942,-0.081673,0.037320,-0.005999
0.995916,-0.081702,0.038038,-0.005441
0.995914,-0.081367,0.038816,-0.005219
0.995907,-0.081137,0.039519,-0.004968
0.995888,-0.081114,0.040075,-0.004656
0.995862,-0.081207,0.040572,-0.004198
0.995833,-0.081359,0.041039,-0.003666
0.995796,-0.081392,0.041914,-0.002923
0.995768,-0.081407,0.042578,-0.002246
0.995761,-0.081388,0.042818,-0.001703
0.995743,-0.081306,0.043403,-0.001322
0.995719,-0.081191,0.044159,-0.001022
0.995690,-0.081178,0.044848,-0.000510
0.995663,-0.081160,0.045471,-0.000097
0.995643,-0.081131,0.045960,0.000119
0.995631,-0.080983,0.046482,0.000248
0.995622,-0.080777,0.047020,0.000332
0.995594,-0.080806,0.047568,0.001061
0.995559,-0.080848,0.048203,0.001665
0.995513,-0.080919,0.049010,0.002022
0.995471,-0.080936,0.049802,0.002395
0.995432,-0.080925,0.050588,0.002775
0.995395,-0.080920,0.051287,0.003214
0.995366,-0.080878,0.051887,0.003558
0.995354,-0.080763,0.052286,0.003711
0.995340,-0.080631,0.052733,0.004062
0.995324,-0.080491,0.053203,0.004512
0.995308,-0.080465,0.053515,0.004783
0.995286,-0.080442,0.053923,0.005126
0.995252,-0.080425,0.054525,0.005612
0.995235,-0.080263,0.055022,0.006106
0.995226,-0.080029,0.055467,0.006603
0.995207,-0.079821,0.056100,0.006697
0.995192,-0.079643,0.056605,0.006838
0.995186,-0.079521,0.056851,0.007074
0.995165,-0.079479,0.057242,0.007290
0.995137,-0.079477,0.057706,0.007497
0.995131,-0.079330,0.057954,0.007959
0.995120,-0.079197,0.058262,0.008349
0.995101,-0.079090,0.058692,0.008596
0.995084,-0.078916,0.059199,0.008684
0.995068,-0.078709,0.059743,0.008692
0.995060,-0.078546,0.060063,0.008838
0.995051,-0.078402,0.060382,0.008952
0.995040,-0.078297,0.060701,0.009003
0.995024,-0.078225,0.061011,0.009272
0.995006,-0.078168,0.061316,0.009650
0.994991,-0.078039,0.061750,0.009495
0.994971,-0.077927,0.062206,0.009489
0.994943,-0.077851,0.062706,0.009783
0.994927,-0.077792,0.063023,0.009871
0.994916,-0.077741,0.063250,0.009856
0.994887,-0.077765,0.063634,0.010154
0.994863,-0.077720,0.064036,0.010325
0.994850,-0.077539,0.064473,0.010240
0.994818,-0.077523,0.064962,0.010388
0.994776,-0.077588,0.065477,0.010653
0.994756,-0.077639,0.065712,0.010678
0.994734,-0.077638,0.066034,0.010802
0.994705,-0.077535,0.066528,0.011126
