joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
-0.015265,-0.006573,0.018864,-0.021281,0.010831,-0.005773,0.008846,0.041143,-0.050204,-0.082778,-0.011049,0.049284,0.090338,0.039840,-0.006077,0.000000,-0.025036,-0.007071,0.000000,0.028349,-0.077981,-0.016994,-0.038931,-0.016074,0.015576,-0.002387,-0.000304,-0.051333,0.022268
0.022053,0.008489,-0.019522,-0.008778,0.008222,0.004870,-0.003487,0.008426,0.001726,-0.052612,0.041454,0.051323,0.078020,0.036526,-0.023148,0.000000,-0.037237,-0.005161,0.000000,0.046619,-0.076433,-0.018010,-0.036495,0.003783,0.040995,-0.004096,-0.009246,-0.049907,0.020951
0.040712,0.016020,-0.038714,-0.002527,0.006918,0.010192,-0.009654,-0.007932,0.027691,-0.037529,0.067705,0.052343,0.071861,0.034870,-0.031683,0.000000,-0.043337,-0.004206,0.000000,0.055754,-0.075660,-0.018518,-0.035276,0.013711,0.053705,-0.004950,-0.013716,-0.049194,0.020293
0.044652,-0.004479,-0.008039,0.013949,-0.005080,0.037910,0.037289,-0.005296,0.012694,-0.031246,0.062593,0.035257,0.060323,0.039190,0.020505,0.000000,-0.087444,0.012028,0.000000,0.029851,-0.079154,0.004535,-0.028396,0.066792,0.025742,-0.003055,-0.015163,-0.024720,-0.026563
0.038351,-0.014060,-0.005802,-0.000784,-0.009755,0.025343,0.022805,-0.011926,0.015182,-0.040429,0.059103,0.034406,0.058810,0.041050,0.006537,0.000000,-0.066060,-0.000004,0.000000,0.032927,-0.078780,0.001360,-0.018963,0.040929,0.032439,-0.006393,-0.013724,-0.024765,-0.017638
0.025751,-0.033221,-0.001327,-0.030250,-0.019106,0.000209,-0.006162,-0.025186,0.020157,-0.058794,0.052124,0.032703,0.055785,0.044772,-0.021398,0.000000,-0.023292,-0.024066,0.000000,0.039078,-0.078031,-0.004989,-0.000097,-0.010799,0.045833,-0.013068,-0.010845,-0.024855,0.000214
0.027007,-0.030769,0.030573,-0.038968,-0.004775,0.005974,-0.002040,-0.017772,-0.009552,-0.068057,0.025756,0.016630,0.066429,0.028001,0.000368,0.000000,-0.014834,-0.021548,0.000000,0.014263,-0.086216,-0.001565,0.005389,0.001581,0.033074,-0.016931,-0.012199,-0.050790,-0.009142
0.027636,-0.029543,0.046524,-0.043327,0.002391,0.008856,0.000022,-0.014065,-0.024406,-0.072688,0.012572,0.008593,0.071750,0.019616,0.011251,0.000000,-0.010605,-0.020290,0.000000,0.001856,-0.090308,0.000147,0.008132,0.007770,0.026694,-0.018863,-0.012876,-0.063758,-0.013821
0.019097,-0.044437,0.020543,-0.002212,0.001473,0.017542,-0.002046,-0.009539,0.014313,-0.053630,0.039849,0.023467,0.047783,0.030369,-0.034426,0.000000,-0.032213,-0.004293,0.000000,0.000401,-0.081606,0.002353,-0.012628,0.040141,0.008945,0.007592,-0.002892,-0.007688,0.013245
0.018318,-0.049920,0.022961,0.000626,-0.010914,0.013651,0.000576,0.000644,0.021478,-0.030575,0.045503,0.024041,0.041687,0.011520,-0.029793,0.000000,-0.031459,0.001915,0.000000,0.000079,-0.078224,0.001681,-0.018125,0.037059,0.007783,0.004141,-0.011236,-0.008576,-0.000564
0.016758,-0.060886,0.027796,0.006301,-0.035688,0.005870,0.005819,0.021010,0.035808,0.015535,0.056811,0.025189,0.029495,-0.026177,-0.020527,0.000000,-0.029950,0.014330,0.000000,-0.000565,-0.071462,0.000336,-0.029118,0.030895,0.005457,-0.002760,-0.027923,-0.010351,-0.028181
0.033876,-0.046103,0.031871,-0.006779,-0.021346,0.001975,0.012170,0.023627,0.023472,-0.039494,0.027083,0.027620,0.013723,0.009679,-0.000718,0.000000,-0.030661,0.001066,0.000000,-0.004716,-0.068298,0.000210,-0.023618,0.035221,-0.015517,-0.003346,-0.015489,-0.017725,-0.032543
