body_0_vel_x,body_0_vel_y,body_0_vel_z
0.009927,-0.036157,-0.028456
0.004841,-0.013605,-0.010591
-0.005332,0.031498,0.025141
-0.003345,-0.008945,-0.010258
-0.002352,-0.029166,-0.027958
0.013495,0.018422,0.029635
0.000574,0.012005,0.009663
-0.025266,-0.000827,-0.030282
0.001386,-0.016018,0.011688
0.014713,-0.023613,0.032673
-0.022804,0.022726,-0.022661
-0.012206,0.004389,-0.005544
0.008990,-0.032283,0.028691
-0.027505,-0.000361,-0.001380
-0.045753,0.015600,-0.016415
0.016323,-0.000447,0.012850
-0.007723,-0.002216,0.009712
-0.055816,-0.005754,0.003437
-0.004373,-0.001423,0.002249
0.021349,0.000742,0.001656
-0.053353,-0.010296,0.015509
-0.031946,-0.002893,0.006272
0.010868,0.011912,-0.012200
-0.015631,-0.014334,0.008963
-0.028881,-0.027457,0.019544
0.007404,0.027232,0.001050
0.004049,0.003156,0.000108
-0.002661,-0.044996,-0.001774
-0.023087,0.010468,0.007679
-0.033300,0.038200,0.012406
0.016692,-0.021201,-0.011387
-0.008852,-0.007579,-0.007841
-0.059940,0.019666,-0.000749
0.012534,0.000696,-0.001609
0.048771,-0.008789,-0.002038
-0.049249,-0.002078,-0.006741
-0.022111,0.003658,-0.005933
0.032166,0.015130,-0.004317
-0.015003,-0.001722,-0.003134
-0.038587,-0.010148,-0.002543
0.039421,0.026829,-0.002471
0.016782,0.010463,0.000204
-0.028497,-0.022268,0.005556
0.002908,0.002345,0.002257
0.018611,0.014651,0.000608
0.002879,-0.007170,0.005296
-0.005855,0.005411,0.001590
-0.023324,0.030574,-0.005822
0.009014,-0.015596,0.003705
0.025184,-0.038681,0.008469
-0.013377,0.041355,-0.000964
-0.007153,0.010685,-0.002050
0.005296,-0.050657,-0.004224
0.001768,0.016563,0.004479
0.000005,0.050173,0.008830
-0.001265,-0.044565,-0.010266
-0.000650,-0.012546,-0.004390
0.000580,0.051492,0.007360
0.010235,-0.012829,-0.007285
0.015062,-0.044989,-0.014607
-0.021651,0.029428,0.008478
0.000087,0.014191,0.002127
0.043562,-0.016284,-0.010575
-0.013590,-0.014188,-0.004712
-0.042166,-0.013141,-0.001781
0.044606,0.016659,0.007235
0.021992,0.001925,-0.002295
-0.023235,-0.027542,-0.021356
0.003131,0.018301,-0.000072
0.016314,0.041222,0.010570
0.012768,-0.046163,-0.003873
0.002428,-0.020169,-0.006289
-0.018251,0.031819,-0.011122
0.017134,-0.007035,0.004979
0.034827,-0.026462,0.013030
-0.033721,0.003207,-0.010352
-0.004680,0.000824,-0.008060
0.053402,-0.003941,-0.003476
-0.009505,-0.007594,0.008569
-0.040959,-0.009421,0.014591
0.046657,-0.019836,-0.011537
0.021584,-0.006471,-0.005668
-0.028563,0.020258,0.006069
0.009098,-0.020092,0.005200
0.027928,-0.040267,0.004765
-0.017642,0.041258,-0.000463
-0.004274,0.013059,0.000126
0.022461,-0.043338,0.001304
-0.002236,0.015886,0.002629
-0.014584,0.045498,0.003292
0.031401,-0.033471,-0.007256
0.011370,-0.013055,-0.003069
-0.028692,0.027777,0.005305
0.019816,0.009753,-0.001054
0.044070,0.000741,-0.004234
-0.029954,-0.023698,-0.005690
-0.010650,-0.003261,-0.001734
0.027959,0.037613,0.006178
-0.001429,-0.017814,-0.005484
-0.016123,-0.045528,-0.011315
0.018083,0.057179,0.006913
0.008428,0.021612,0.001503
-0.010883,-0.049522,-0.009318
0.001281,0.022712,-0.003125
0.007363,0.058830,-0.000029
0.009359,-0.053412,-0.001886
0.001560,-0.019555,-0.002855
-0.014039,0.048159,-0.004792
0.010176,-0.011114,0.001627
0.022284,-0.040750,0.004837
-0.018322,0.044811,-0.013105
-0.004543,0.017052,-0.002534
0.023015,-0.038466,0.018607
-0.009868,0.008611,-0.014826
-0.026310,0.032150,-0.031543
0.019269,0.006020,0.036415
0.012766,-0.000344,0.012176
-0.000240,-0.013071,-0.036303
-0.010321,0.020167,0.003120
-0.015361,0.036786,0.022831
0.025870,-0.026454,-0.015918
0.005678,-0.004110,-0.005795
-0.034705,0.040579,0.014450
0.009281,-0.006559,0.008485
0.031274,-0.030128,0.005502
-0.012153,0.040295,-0.012787
-0.005374,0.019268,-0.001573
0.008183,-0.022785,0.020855
-0.018986,0.008719,-0.005581
-0.032570,0.024470,-0.018799
0.038827,-0.005523,0.017186
0.014290,-0.003047,0.013688
-0.034784,0.001904,0.006691
0.001954,-0.000536,-0.010484
0.020323,-0.001756,-0.019072
0.004999,-0.002905,0.038921
-0.005503,-0.003302,0.019663
-0.026507,-0.004097,-0.018852
0.018548,-0.005233,0.008438
0.041076,-0.005802,0.022084
-0.035439,-0.005758,0.007231
