joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.890090,-0.028759,-0.062589,0.748278,-0.545615,0.325353,0.194061,-0.321589,0.148245,0.765339,0.247233,0.356288,0.121939,-0.111115,-0.032116,2.251500,-1.000307,-0.109553,0.261800,1.377599,-0.195594,1.621714,1.230646,-0.208733,0.435217,-0.131916,-0.132431,0.154832,-0.134361
-0.889241,-0.029533,-0.061911,0.748012,-0.545899,0.325354,0.194368,-0.321090,0.148591,0.763999,0.247477,0.356865,0.122056,-0.110563,-0.031932,2.251500,-1.000927,-0.109664,0.261800,1.377463,-0.196929,1.621717,1.230229,-0.207985,0.434697,-0.131989,-0.132617,0.154403,-0.135056
-0.888904,-0.030570,-0.061101,0.748144,-0.546272,0.325382,0.194658,-0.321131,0.148829,0.764035,0.247914,0.357210,0.122646,-0.111087,-0.032113,2.251500,-1.000978,-0.109548,0.261800,1.377159,-0.198114,1.622034,1.230154,-0.207516,0.434165,-0.132118,-0.132909,0.153952,-0.135334
-0.888556,-0.031467,-0.060097,0.748050,-0.546658,0.325332,0.194651,-0.321213,0.148786,0.764078,0.247766,0.357622,0.123156,-0.111806,-0.031747,2.251500,-1.000888,-0.109558,0.261800,1.376682,-0.199289,1.622199,1.230433,-0.207299,0.433651,-0.132342,-0.133027,0.153683,-0.135565
-0.888185,-0.032084,-0.058703,0.747502,-0.547070,0.325126,0.194045,-0.321378,0.148179,0.764132,0.246450,0.358168,0.123504,-0.112912,-0.030287,2.251500,-1.000518,-0.109822,0.261800,1.375861,-0.200444,1.622061,1.231423,-0.207588,0.433171,-0.132757,-0.132796,0.153778,-0.135700
-0.888067,-0.032581,-0.057310,0.746762,-0.547461,0.324757,0.193773,-0.321391,0.147568,0.764083,0.245097,0.358782,0.123609,-0.113728,-0.029962,2.251500,-1.000344,-0.110029,0.261800,1.375138,-0.201237,1.621742,1.232364,-0.207291,0.432259,-0.133056,-0.132639,0.153829,-0.135739
-0.888075,-0.033019,-0.055918,0.745925,-0.547843,0.324304,0.193669,-0.321328,0.146956,0.763982,0.243727,0.359430,0.123593,-0.114398,-0.030205,2.251500,-1.000267,-0.110208,0.261800,1.374465,-0.201850,1.621332,1.233280,-0.206702,0.431130,-0.133298,-0.132518,0.153858,-0.135731
-0.887983,-0.033920,-0.055329,0.745749,-0.548279,0.323872,0.192871,-0.320875,0.146946,0.765119,0.244369,0.359994,0.123731,-0.115510,-0.029719,2.251500,-0.999907,-0.110289,0.261800,1.374160,-0.202377,1.621140,1.233873,-0.206763,0.430333,-0.133473,-0.132611,0.153724,-0.135807
-0.887833,-0.034805,-0.054696,0.745508,-0.548743,0.323643,0.192185,-0.320479,0.147035,0.766207,0.244833,0.360426,0.123839,-0.116696,-0.029429,2.251500,-0.999920,-0.110216,0.261800,1.373938,-0.202789,1.620944,1.234112,-0.206783,0.429646,-0.133701,-0.132788,0.153367,-0.136040
-0.887568,-0.035660,-0.053972,0.745135,-0.549264,0.323822,0.191722,-0.320195,0.147323,0.767196,0.244942,0.360595,0.123887,-0.118033,-0.029531,2.251500,-1.000680,-0.109834,0.261800,1.373883,-0.202972,1.620739,1.233645,-0.206724,0.429176,-0.134034,-0.133134,0.152563,-0.136586
-0.887523,-0.036009,-0.053343,0.744791,-0.549549,0.323694,0.191083,-0.320007,0.147390,0.767770,0.245196,0.360832,0.124017,-0.118948,-0.029430,2.251500,-1.000730,-0.109847,0.261800,1.373744,-0.203430,1.620822,1.234235,-0.206616,0.428792,-0.134220,-0.133014,0.152066,-0.136643
-0.887588,-0.036105,-0.052761,0.744462,-0.549717,0.323411,0.190357,-0.319866,0.147345,0.768138,0.245522,0.361103,0.124187,-0.119653,-0.029227,2.251500,-1.000424,-0.110057,0.261800,1.373562,-0.204025,1.621048,1.235353,-0.206483,0.428451,-0.134332,-0.132661,0.151722,-0.136458
-0.886722,-0.036496,-0.052326,0.743867,-0.549428,0.323364,0.190145,-0.319407,0.147214,0.767185,0.245672,0.361177,0.124589,-0.119192,-0.029564,2.251500,-1.000613,-0.110601,0.261800,1.373591,-0.204334,1.620890,1.236000,-0.206211,0.428065,-0.134583,-0.132390,0.151616,-0.136202
-0.886270,-0.036823,-0.051930,0.743509,-0.549294,0.323468,0.190037,-0.319223,0.146964,0.766328,0.245759,0.361128,0.124966,-0.118765,-0.029831,2.251500,-1.000931,-0.110969,0.261800,1.373583,-0.204783,1.620902,1.236468,-0.205920,0.428066,-0.134635,-0.132210,0.151671,-0.136055
-0.886645,-0.037022,-0.051611,0.743621,-0.549468,0.323871,0.190140,-0.319592,0.146477,0.765660,0.245717,0.360833,0.125292,-0.118402,-0.029953,2.251500,-1.001506,-0.110986,0.261800,1.373505,-0.205509,1.621252,1.236580,-0.205593,0.428841,-0.134288,-0.132209,0.152048,-0.136127
-0.887110,-0.037269,-0.051566,0.743487,-0.549627,0.323967,0.189930,-0.319890,0.146540,0.765617,0.245926,0.360614,0.125624,-0.118212,-0.029763,2.251500,-1.001730,-0.110908,0.261800,1.373850,-0.205918,1.621861,1.236582,-0.206027,0.429227,-0.133975,-0.132319,0.152019,-0.136214
-0.887620,-0.037541,-0.051658,0.743231,-0.549779,0.323911,0.189563,-0.320152,0.146879,0.765886,0.246261,0.360433,0.125958,-0.118107,-0.029415,2.251500,-1.001779,-0.110783,0.261800,1.374408,-0.206167,1.622599,1.236530,-0.206841,0.429418,-0.133679,-0.132484,0.151785,-0.136308
-0.887742,-0.037772,-0.051298,0.743150,-0.549363,0.324284,0.189260,-0.320401,0.146506,0.764711,0.246303,0.360261,0.126170,-0.117512,-0.029293,2.251500,-1.001614,-0.110851,0.261800,1.374424,-0.206496,1.622772,1.236698,-0.206560,0.429743,-0.133288,-0.132194,0.151294,-0.136066
-0.887808,-0.037990,-0.051100,0.743188,-0.549088,0.324690,0.189053,-0.320622,0.146245,0.763698,0.246415,0.360082,0.126376,-0.116941,-0.029284,2.251500,-1.001534,-0.110884,0.261800,1.374479,-0.206860,1.623050,1.236849,-0.206391,0.430055,-0.132925,-0.132058,0.150898,-0.136000
-0.887761,-0.038185,-0.051224,0.743460,-0.549097,0.325161,0.189035,-0.320789,0.146208,0.763008,0.246666,0.359889,0.126569,-0.116416,-0.029501,2.251500,-1.001621,-0.110845,0.261800,1.374615,-0.207298,1.623540,1.236964,-0.206449,0.430338,-0.132615,-0.132234,0.150692,-0.136283
-0.887634,-0.038125,-0.051514,0.744132,-0.548809,0.325745,0.189445,-0.321216,0.146396,0.762371,0.247110,0.359577,0.127147,-0.115628,-0.029849,2.251500,-1.001561,-0.110732,0.261800,1.374740,-0.207628,1.624044,1.236653,-0.207006,0.430412,-0.132478,-0.132498,0.150340,-0.136867
-0.887466,-0.037939,-0.051888,0.745003,-0.548373,0.326385,0.190067,-0.321772,0.146695,0.761760,0.247652,0.359206,0.127917,-0.114710,-0.030263,2.251500,-1.001427,-0.110582,0.261800,1.374860,-0.207904,1.624555,1.236129,-0.207812,0.430383,-0.132428,-0.132806,0.149916,-0.137602
-0.887328,-0.038553,-0.051924,0.745290,-0.548924,0.326432,0.190584,-0.322499,0.147273,0.761889,0.248157,0.359354,0.127950,-0.114799,-0.030352,2.251500,-1.000982,-0.110394,0.261800,1.374820,-0.208223,1.625357,1.236165,-0.207799,0.429772,-0.132383,-0.132829,0.149880,-0.137854
-0.887282,-0.039106,-0.052026,0.745546,-0.549213,0.326719,0.191172,-0.323126,0.147727,0.761711,0.248560,0.359365,0.128129,-0.114635,-0.030578,2.251500,-1.000446,-0.110321,0.261800,1.374743,-0.208535,1.625946,1.235959,-0.207733,0.429524,-0.132319,-0.132969,0.150232,-0.138316
-0.887420,-0.039538,-0.052258,0.745742,-0.548978,0.327484,0.191903,-0.323554,0.147932,0.760916,0.248761,0.359099,0.128597,-0.113964,-0.031075,2.251500,-0.999726,-0.110475,0.261800,1.374591,-0.208832,1.626109,1.235269,-0.207562,0.430003,-0.132216,-0.133341,0.151359,-0.139200
