body_0_x,body_0_y,body_0_z
0.032624,-0.008034,0.676192
0.032457,-0.007791,0.676391
0.033179,-0.007860,0.675883
0.032971,-0.007900,0.676157
0.032299,-0.007925,0.676822
0.033142,-0.008038,0.676135
0.033519,-0.008115,0.675954
0.032965,-0.008121,0.676784
0.033303,-0.008342,0.676654
0.034088,-0.008671,0.676045
0.033610,-0.008353,0.676838
0.033543,-0.008320,0.677210
0.034298,-0.008856,0.676741
0.034183,-0.008674,0.676997
0.033633,-0.008133,0.677617
0.034535,-0.008745,0.677353
0.034974,-0.009018,0.677272
0.034488,-0.008611,0.677556
0.034869,-0.008577,0.677796
0.035683,-0.008730,0.678015
0.035604,-0.009041,0.677768
0.035502,-0.009072,0.677773
0.035352,-0.008540,0.678282
0.035723,-0.008758,0.678040
0.036354,-0.009350,0.677423
0.035731,-0.009123,0.678049
0.035494,-0.008915,0.678248
0.036029,-0.008747,0.677597
0.036183,-0.009044,0.677665
0.036148,-0.009575,0.678092
0.035992,-0.008896,0.677883
0.036074,-0.008637,0.677616
0.036630,-0.009218,0.677234
0.036738,-0.009130,0.677475
0.036622,-0.008707,0.678027
0.036800,-0.008772,0.677065
0.037056,-0.008892,0.676663
0.037466,-0.009122,0.677384
0.037503,-0.008884,0.677214
0.037354,-0.008413,0.676600
0.038109,-0.009313,0.676837
0.038429,-0.009665,0.676927
0.037878,-0.008919,0.676724
0.038276,-0.009049,0.676751
0.039149,-0.009617,0.676893
0.038169,-0.009292,0.676858
0.037777,-0.009193,0.676896
0.038561,-0.009547,0.677081
0.038502,-0.009373,0.677060
0.038021,-0.008934,0.676936
0.038480,-0.009505,0.677297
0.038619,-0.009607,0.677346
0.038118,-0.008769,0.676768
0.038045,-0.009039,0.677036
0.038185,-0.009862,0.677728
0.038419,-0.008999,0.677155
0.038495,-0.008698,0.677033
0.038259,-0.009522,0.677812
0.038402,-0.009333,0.677628
0.038735,-0.008638,0.676961
0.038530,-0.009040,0.677902
0.038423,-0.009166,0.678264
0.038510,-0.008741,0.677470
0.038782,-0.008763,0.677746
0.039145,-0.009007,0.678558
0.038290,-0.008966,0.678150
0.038044,-0.008898,0.677960
0.039013,-0.008773,0.678208
0.038672,-0.008886,0.678361
0.037677,-0.009118,0.678466
0.038519,-0.008692,0.678304
0.038823,-0.008631,0.678363
0.038050,-0.009299,0.678865
